length,entropy,special_char_ratio,b64_keyword,eval_cnt,exec_cnt,system_cnt,shell_exec_cnt,passthru_cnt,assert_cnt,user_input,hex_enc,chr_ord,long_b64,is_b64_logic,socket_cnt,fsockopen_cnt,curl_cnt,fopen_cnt,file_get_contents_cnt,brackets,pipe,semicolon,upper_ratio,avg_line_len,max_word_len,has_multi,has_filen,has_conte,label
1297,5.034065169168577,0.24441017733230533,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.10485736314572089,43.233333333333334,21,0,0,0,1
17536,5.350723694887143,0.3870323905109489,0,0,17,5,5,8,0,10,0,0,0,0,0,0,0,1,0,413,3,234,0.0364963503649635,27.145510835913313,18,1,0,0,1
8998,5.611885813827487,0.3919759946654812,0,0,1,0,0,0,0,13,0,5,0,0,0,0,0,2,0,231,5,174,0.055345632362747275,49.71270718232044,18,0,1,1,1
1522,5.41075868978509,0.37779237844940866,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,41,0,34,0.17017082785808146,11.618320610687023,18,0,0,0,1
9828,5.507490783671266,0.3830891330891331,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,139,5,101,0.11945461945461945,31.00315457413249,17,0,0,0,1
10421,5.344869918413454,0.469628634488053,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,0,188,0,139,0.059591210056616446,36.564912280701755,19,1,1,1,1
76,5.204714190875897,0.32894736842105265,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.23684210526315788,38.0,20,0,0,0,1
2040,4.177655123677322,0.5803921568627451,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,53,0,42,0.03137254901960784,28.333333333333332,17,0,0,0,1
5765,5.154690333792391,0.4943625325238508,0,0,1,1,0,0,0,11,0,0,0,0,0,1,0,2,0,151,0,96,0.07077189939288812,31.85082872928177,15,0,0,0,1
8987,5.341670701627533,0.4317347279403583,0,3,2,0,0,1,0,12,0,4,0,0,0,0,0,3,0,140,2,115,0.0832313341493268,38.4059829059829,26,0,0,0,1
